location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Zeil (Mitte), Frankfurt a.M.;2020-06-08 00:00:00 +0200;Monday;58500;21;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-06-09 00:00:00 +0200;Tuesday;52542;19;rain;
Zeil (Mitte), Frankfurt a.M.;2020-06-10 00:00:00 +0200;Wednesday;58104;20;rain;
Zeil (Mitte), Frankfurt a.M.;2020-06-11 00:00:00 +0200;Thursday;21807;21;rain;
Zeil (Mitte), Frankfurt a.M.;2020-06-12 00:00:00 +0200;Friday;81445;28;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-06-13 00:00:00 +0200;Saturday;87326;28;rain;
Zeil (Mitte), Frankfurt a.M.;2020-06-14 00:00:00 +0200;Sunday;15510;23;rain;
Zeil (Mitte), Frankfurt a.M.;2020-06-15 00:00:00 +0200;Monday;52251;21;rain;
Zeil (Mitte), Frankfurt a.M.;2020-06-16 00:00:00 +0200;Tuesday;41167;20;rain;
Zeil (Mitte), Frankfurt a.M.;2020-06-17 00:00:00 +0200;Wednesday;46334;24;rain;
Zeil (Mitte), Frankfurt a.M.;2020-06-18 00:00:00 +0200;Thursday;60218;23;rain;
Zeil (Mitte), Frankfurt a.M.;2020-06-19 00:00:00 +0200;Friday;61032;24;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-06-20 00:00:00 +0200;Saturday;91855;25;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-06-21 00:00:00 +0200;Sunday;23520;26;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-06-22 00:00:00 +0200;Monday;57319;24;rain;
Zeil (Mitte), Frankfurt a.M.;2020-06-23 00:00:00 +0200;Tuesday;57043;28;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-06-24 00:00:00 +0200;Wednesday;55183;28;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-06-25 00:00:00 +0200;Thursday;59292;27;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-06-26 00:00:00 +0200;Friday;61164;30;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-06-27 00:00:00 +0200;Saturday;86154;28;rain;
Zeil (Mitte), Frankfurt a.M.;2020-06-28 00:00:00 +0200;Sunday;19081;23;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-06-29 00:00:00 +0200;Monday;57121;23;rain;
Zeil (Mitte), Frankfurt a.M.;2020-06-30 00:00:00 +0200;Tuesday;63590;23;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-07-01 00:00:00 +0200;Wednesday;60611;28;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-07-02 00:00:00 +0200;Thursday;64495;26;rain;
Zeil (Mitte), Frankfurt a.M.;2020-07-03 00:00:00 +0200;Friday;71355;25;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-07-04 00:00:00 +0200;Saturday;98821;25;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-07-05 00:00:00 +0200;Sunday;22916;26;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-07-06 00:00:00 +0200;Monday;61981;22;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-07-07 00:00:00 +0200;Tuesday;60231;23;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-07-08 00:00:00 +0200;Wednesday;40058;18;rain;
Zeil (Mitte), Frankfurt a.M.;2020-07-09 00:00:00 +0200;Thursday;62576;28;rain;
Zeil (Mitte), Frankfurt a.M.;2020-07-10 00:00:00 +0200;Friday;65230;24;rain;
Zeil (Mitte), Frankfurt a.M.;2020-07-11 00:00:00 +0200;Saturday;98075;22;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-07-12 00:00:00 +0200;Sunday;23086;25;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-07-13 00:00:00 +0200;Monday;61115;27;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-07-14 00:00:00 +0200;Tuesday;56414;28;cloudy;
Zeil (Mitte), Frankfurt a.M.;2020-07-15 00:00:00 +0200;Wednesday;55957;23;rain;
Zeil (Mitte), Frankfurt a.M.;2020-07-16 00:00:00 +0200;Thursday;53413;18;rain;
Zeil (Mitte), Frankfurt a.M.;2020-07-17 00:00:00 +0200;Friday;65920;25;rain;
Zeil (Mitte), Frankfurt a.M.;2020-07-18 00:00:00 +0200;Saturday;92669;27;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-07-19 00:00:00 +0200;Sunday;2033;29;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-07-19 00:00:00 +0200;Sunday;20743;;;
Zeil (Mitte), Frankfurt a.M.;2020-07-20 00:00:00 +0200;Monday;58894;27;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-07-21 00:00:00 +0200;Tuesday;58660;26;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-07-22 00:00:00 +0200;Wednesday;57569;27;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-07-23 00:00:00 +0200;Thursday;60796;27;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-07-24 00:00:00 +0200;Friday;59566;29;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-07-25 00:00:00 +0200;Saturday;85785;28;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-07-26 00:00:00 +0200;Sunday;21155;26;rain;
