location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Große Bleichen, Hamburg;2020-10-01 00:00:00 +0200;Thursday;13336;19;partly-cloudy-day;
Große Bleichen, Hamburg;2020-10-02 00:00:00 +0200;Friday;15822;18;rain;
Große Bleichen, Hamburg;2020-10-03 00:00:00 +0200;Saturday;7560;20;rain;
Große Bleichen, Hamburg;2020-10-04 00:00:00 +0200;Sunday;5284;16;rain;
Große Bleichen, Hamburg;2020-10-05 00:00:00 +0200;Monday;14062;16;rain;
Große Bleichen, Hamburg;2020-10-06 00:00:00 +0200;Tuesday;14237;14;rain;
Große Bleichen, Hamburg;2020-10-07 00:00:00 +0200;Wednesday;13296;16;rain;
Große Bleichen, Hamburg;2020-10-08 00:00:00 +0200;Thursday;7730;15;rain;
Große Bleichen, Hamburg;2020-10-09 00:00:00 +0200;Friday;16152;14;rain;
Große Bleichen, Hamburg;2020-10-10 00:00:00 +0200;Saturday;19353;12;rain;
Große Bleichen, Hamburg;2020-10-11 00:00:00 +0200;Sunday;4196;11;rain;
Große Bleichen, Hamburg;2020-10-12 00:00:00 +0200;Monday;15077;13;rain;
Große Bleichen, Hamburg;2020-10-13 00:00:00 +0200;Tuesday;15852;14;partly-cloudy-day;
Große Bleichen, Hamburg;2020-10-14 00:00:00 +0200;Wednesday;14827;11;cloudy;
Große Bleichen, Hamburg;2020-10-15 00:00:00 +0200;Thursday;14024;11;partly-cloudy-day;
